Date, Apartment Complex Name, Unit, Price
10/10/2019,Reflections at Gila Springs,1Bed-1Bath|824sq.ft.,"$1,200 "
10/10/2019,Reflections at Gila Springs,1Bed-1Bath|949sq.ft.,"$1,400 "
10/10/2019,Reflections at Gila Springs,2Bed-2Bath|1186sq.ft,"$1,390 "
10/10/2019,Reflections at Gila Springs,2Bed-2Bath|1156sq.ft,"$1,475 "
10/10/2019,The Ventura,A1beds1baths1sq.ft798,"$1,160 "
10/10/2019,The Ventura,B2beds2baths2sq.ft1039,"$1,430 "
10/11/2019,San Brisas,A2,"$1,325 "
10/11/2019,Country Brook,A1,$1112 -to $1465
10/11/2019,Country Brook,A2,$1077 -to $1453
10/11/2019,Country Brook,A3,$1149 -to $1428
10/11/2019,Country Brook,A4,$1267 -to $1530
10/11/2019,Country Brook,B1,$1388 -to $1883
10/11/2019,Country Brook,B2,$1403 -to $1852
10/11/2019,San Tierra,1Bed-1Bath|801sq.ft.,"$1,110 "
10/11/2019,San Tierra,2Bed-2Bath|1005sq.ft,"$1,405 "
10/11/2019,San Tierra,2Bed-2Bath|1050sq.ft,"$1,280 "
10/11/2019,San Tierra,2Bed-2Bath|1082sq.ft,"$1,420 "
10/11/2019,Reflections at Gila Springs,1Bed-1Bath|824sq.ft.,"$1,200 "
10/11/2019,Reflections at Gila Springs,1Bed-1Bath|949sq.ft.,"$1,400 "
10/11/2019,Reflections at Gila Springs,2Bed-2Bath|1186sq.ft,"$1,390 "
10/11/2019,Reflections at Gila Springs,2Bed-2Bath|1156sq.ft,"$1,475 "
10/11/2019,The Ventura,A1beds1baths1sq.ft798,"$1,175 "
10/11/2019,The Ventura,B2beds2baths2sq.ft1039,"$1,410 "
10/14/2019,San Brisas,A2,"$1,325 "
10/14/2019,Country Brook,A1,$1054 -to $1408
10/14/2019,Country Brook,A2,$1018 -to $1396
10/14/2019,Country Brook,A3,$1068 -to $1372
10/14/2019,Country Brook,A4,$1214 -to $1467
10/14/2019,Country Brook,B1,$1410 -to $1898
10/14/2019,Country Brook,B2,$1415 -to $1867
10/14/2019,San Tierra,1Bed-1Bath|801sq.ft.,"$1,100 "
10/14/2019,San Tierra,2Bed-2Bath|1005sq.ft,"$1,375 "
10/14/2019,San Tierra,2Bed-2Bath|1050sq.ft,"$1,280 "
10/14/2019,San Tierra,2Bed-2Bath|1082sq.ft,"$1,420 "
10/14/2019,Reflections at Gila Springs,1Bed-1Bath|824sq.ft.,"$1,185 "
10/14/2019,Reflections at Gila Springs,1Bed-1Bath|949sq.ft.,"$1,400 "
10/14/2019,Reflections at Gila Springs,2Bed-2Bath|1186sq.ft,"$1,540 "
10/14/2019,Reflections at Gila Springs,2Bed-2Bath|1156sq.ft,"$1,475 "
10/14/2019,The Ventura,A1beds1baths1sq.ft798,"$1,160 "
10/14/2019,The Ventura,B2beds2baths2sq.ft1039,"$1,415 "
10/15/2019,San Brisas,A2,"$1,325 "
10/15/2019,Country Brook,A1,$1047 -to $1400
10/15/2019,Country Brook,A2,$1010 -to $1387
10/15/2019,Country Brook,A3,$1061 -to $1363
10/15/2019,Country Brook,A4,$1204 -to $1456
10/15/2019,Country Brook,B1,$1403 -to $1889
10/15/2019,Country Brook,B2,$1408 -to $1858
10/15/2019,San Tierra,1Bed-1Bath|801sq.ft.,"$1,105 "
10/15/2019,San Tierra,2Bed-2Bath|1005sq.ft,"$1,405 "
10/15/2019,San Tierra,2Bed-2Bath|1050sq.ft,"$1,280 "
10/15/2019,San Tierra,2Bed-2Bath|1082sq.ft,"$1,405 "
10/15/2019,Reflections at Gila Springs,1Bed-1Bath|824sq.ft.,"$1,185 "
10/15/2019,Reflections at Gila Springs,1Bed-1Bath|949sq.ft.,"$1,400 "
10/15/2019,Reflections at Gila Springs,2Bed-2Bath|1186sq.ft,"$1,540 "
10/15/2019,Reflections at Gila Springs,2Bed-2Bath|1156sq.ft,"$1,475 "
10/15/2019,The Ventura,A1beds1baths1sq.ft798,"$1,160 "
10/15/2019,The Ventura,B2beds2baths2sq.ft1039,"$1,415 "
10/16/2019,San Brisas,A2,"$1,325 "
10/16/2019,Country Brook,A1,$1037 -to $1386
10/16/2019,Country Brook,A2,$1075 -to $1373
10/16/2019,Country Brook,A3,$1085 -to $1392
10/16/2019,Country Brook,A4,$1189 -to $1440
10/16/2019,Country Brook,B1,$1414 -to $1884
10/16/2019,Country Brook,B2,$1364 -to $1853
10/16/2019,San Tierra,1Bed-1Bath|801sq.ft.,"$1,105 "
10/16/2019,San Tierra,2Bed-2Bath|1005sq.ft,"$1,405 "
10/16/2019,San Tierra,2Bed-2Bath|1050sq.ft,"$1,280 "
10/16/2019,San Tierra,2Bed-2Bath|1082sq.ft,"$1,400 "
10/16/2019,Reflections at Gila Springs,1Bed-1Bath|824sq.ft.,"$1,185 "
10/16/2019,Reflections at Gila Springs,1Bed-1Bath|949sq.ft.,"$1,400 "
10/16/2019,Reflections at Gila Springs,2Bed-2Bath|1186sq.ft,"$1,555 "
10/16/2019,Reflections at Gila Springs,2Bed-2Bath|1156sq.ft,"$1,475 "
10/16/2019,The Ventura,A1beds1baths1sq.ft798,"$1,160 "
10/16/2019,The Ventura,B2beds2baths2sq.ft1039,"$1,410 "
10/17/2019,San Brisas,A2,"$1,400 "
10/17/2019,Country Brook,A1,$1087 -to $1451
10/17/2019,Country Brook,A2,$1128 -to $1439
10/17/2019,Country Brook,A3,$1103 -to $1458
10/17/2019,Country Brook,A4,$1239 -to $1500
10/17/2019,Country Brook,B1,$1400 -to $1886
10/17/2019,Country Brook,B2,$1365 -to $1855
10/17/2019,San Tierra,1Bed-1Bath|801sq.ft.,"$1,150 "
10/17/2019,San Tierra,2Bed-2Bath|1005sq.ft,"$1,440 "
10/17/2019,San Tierra,2Bed-2Bath|1050sq.ft,"$1,280 "
10/17/2019,San Tierra,2Bed-2Bath|1082sq.ft,"$1,445 "
10/17/2019,Reflections at Gila Springs,1Bed-1Bath|824sq.ft.,"$1,185 "
10/17/2019,Reflections at Gila Springs,1Bed-1Bath|949sq.ft.,"$1,400 "
10/17/2019,Reflections at Gila Springs,2Bed-2Bath|1186sq.ft,"$1,560 "
10/17/2019,Reflections at Gila Springs,2Bed-2Bath|1156sq.ft,"$1,355 "
10/17/2019,The Ventura,A1beds1baths1sq.ft798,"$1,160 "
10/17/2019,The Ventura,B2beds2baths2sq.ft1039,"$1,405 "
10/18/2019,San Brisas,A2,"$1,400 "
10/18/2019,Country Brook,A1,$1088 -to $1454
10/18/2019,Country Brook,A2,$1130 -to $1442
10/18/2019,Country Brook,A3,$1105 -to $1461
10/18/2019,Country Brook,A4,$1237 -to $1499
10/18/2019,Country Brook,B1,$1401 -to $1887
10/18/2019,Country Brook,B2,$1366 -to $1856
10/18/2019,San Tierra,1Bed-1Bath|801sq.ft.,"$1,160 "
10/18/2019,San Tierra,2Bed-2Bath|1005sq.ft,"$1,435 "
10/18/2019,San Tierra,2Bed-2Bath|1050sq.ft,"$1,280 "
10/18/2019,San Tierra,2Bed-2Bath|1082sq.ft,"$1,440 "
10/18/2019,Reflections at Gila Springs,1Bed-1Bath|824sq.ft.,"$1,185 "
10/18/2019,Reflections at Gila Springs,1Bed-1Bath|949sq.ft.,"$1,400 "
10/18/2019,Reflections at Gila Springs,2Bed-2Bath|1186sq.ft,"$1,555 "
10/18/2019,Reflections at Gila Springs,2Bed-2Bath|1156sq.ft,"$1,335 "
10/18/2019,The Ventura,A1beds1baths1sq.ft798,"$1,160 "
10/18/2019,The Ventura,B2beds2baths2sq.ft1039,"$1,395 "
10/19/2019,San Brisas,A2,"$1,400 "
10/19/2019,Country Brook,A1,$1079 -to $1441
10/19/2019,Country Brook,A2,$1120 -to $1429
10/19/2019,Country Brook,A3,$1130 -to $1448
10/19/2019,Country Brook,A4,$1220 -to $1481
10/19/2019,Country Brook,B1,$1354 -to $1828
10/19/2019,Country Brook,B2,$1359 -to $1797
10/19/2019,San Tierra,1Bed-1Bath|801sq.ft.,"$1,150 "
10/19/2019,San Tierra,2Bed-2Bath|1005sq.ft,"$1,440 "
10/19/2019,San Tierra,2Bed-2Bath|1050sq.ft,"$1,280 "
10/19/2019,San Tierra,2Bed-2Bath|1082sq.ft,"$1,440 "
10/19/2019,Reflections at Gila Springs,1Bed-1Bath|824sq.ft.,"$1,185 "
10/19/2019,Reflections at Gila Springs,1Bed-1Bath|949sq.ft.,"$1,400 "
10/19/2019,Reflections at Gila Springs,2Bed-2Bath|1186sq.ft,"$1,595 "
10/19/2019,Reflections at Gila Springs,2Bed-2Bath|1156sq.ft,"$1,385 "
10/19/2019,The Ventura,A1beds1baths1sq.ft798,"$1,160 "
10/19/2019,The Ventura,B2beds2baths2sq.ft1039,"$1,520 "
10/20/2019,San Brisas,A2,"$1,400 "
10/20/2019,Country Brook,A1,$1085 -to $1441
10/20/2019,Country Brook,A2,$1120 -to $1429
10/20/2019,Country Brook,A3,$1130 -to $1448
10/20/2019,Country Brook,A4,$1227 -to $1488
10/20/2019,Country Brook,B1,$1354 -to $1828
10/20/2019,Country Brook,B2,$1359 -to $1797
10/20/2019,San Tierra,1Bed-1Bath|801sq.ft.,"$1,155 "
10/20/2019,San Tierra,2Bed-2Bath|1005sq.ft,"$1,430 "
10/20/2019,San Tierra,2Bed-2Bath|1050sq.ft,"$1,445 "
10/20/2019,San Tierra,2Bed-2Bath|1082sq.ft,"$1,430 "
10/20/2019,Reflections at Gila Springs,1Bed-1Bath|824sq.ft.,"$1,185 "
10/20/2019,Reflections at Gila Springs,1Bed-1Bath|949sq.ft.,"$1,400 "
10/20/2019,Reflections at Gila Springs,2Bed-2Bath|1186sq.ft,"$1,595 "
10/20/2019,Reflections at Gila Springs,2Bed-2Bath|1156sq.ft,"$1,385 "
